Name,Sequence,Period,Year,Month,Type,Price
Capitol Hill,1,1996-04,1996,4,SFH,336000
Capitol Hill,2,1996-05,1996,5,SFH,335200
Capitol Hill,3,1996-06,1996,6,SFH,335000
Capitol Hill,4,1996-07,1996,7,SFH,333300
Capitol Hill,5,1996-08,1996,8,SFH,332600
Capitol Hill,6,1996-09,1996,9,SFH,333500
Capitol Hill,7,1996-10,1996,10,SFH,336300
Capitol Hill,8,1996-11,1996,11,SFH,337600
Capitol Hill,9,1996-12,1996,12,SFH,338300
Capitol Hill,10,1997-01,1997,1,SFH,340500
Capitol Hill,11,1997-02,1997,2,SFH,343800
Capitol Hill,12,1997-03,1997,3,SFH,347500
Capitol Hill,13,1997-04,1997,4,SFH,352200
Capitol Hill,14,1997-05,1997,5,SFH,357500
Capitol Hill,15,1997-06,1997,6,SFH,363300
Capitol Hill,16,1997-07,1997,7,SFH,371600
Capitol Hill,17,1997-08,1997,8,SFH,378900
Capitol Hill,18,1997-09,1997,9,SFH,384000
Capitol Hill,19,1997-10,1997,10,SFH,390700
Capitol Hill,20,1997-11,1997,11,SFH,400900
Capitol Hill,21,1997-12,1997,12,SFH,409100
Capitol Hill,22,1998-01,1998,1,SFH,413800
Capitol Hill,23,1998-02,1998,2,SFH,417800
Capitol Hill,24,1998-03,1998,3,SFH,422500
Capitol Hill,25,1998-04,1998,4,SFH,425000
Capitol Hill,26,1998-05,1998,5,SFH,425800
Capitol Hill,27,1998-06,1998,6,SFH,427000
Capitol Hill,28,1998-07,1998,7,SFH,431000
Capitol Hill,29,1998-08,1998,8,SFH,435800
Capitol Hill,30,1998-09,1998,9,SFH,442200
Capitol Hill,31,1998-10,1998,10,SFH,447000
Capitol Hill,32,1998-11,1998,11,SFH,449700
Capitol Hill,33,1998-12,1998,12,SFH,452200
Capitol Hill,34,1999-01,1999,1,SFH,456200
Capitol Hill,35,1999-02,1999,2,SFH,459700
Capitol Hill,36,1999-03,1999,3,SFH,463500
Capitol Hill,37,1999-04,1999,4,SFH,468300
Capitol Hill,38,1999-05,1999,5,SFH,472500
Capitol Hill,39,1999-06,1999,6,SFH,477100
Capitol Hill,40,1999-07,1999,7,SFH,480800
Capitol Hill,41,1999-08,1999,8,SFH,487500
Capitol Hill,42,1999-09,1999,9,SFH,497800
Capitol Hill,43,1999-10,1999,10,SFH,509200
Capitol Hill,44,1999-11,1999,11,SFH,519400
Capitol Hill,45,1999-12,1999,12,SFH,530800
Capitol Hill,46,2000-01,2000,1,SFH,540800
Capitol Hill,47,2000-02,2000,2,SFH,549100
Capitol Hill,48,2000-03,2000,3,SFH,557100
Capitol Hill,49,2000-04,2000,4,SFH,566300
Capitol Hill,50,2000-05,2000,5,SFH,576900
Capitol Hill,51,2000-06,2000,6,SFH,584900
Capitol Hill,52,2000-07,2000,7,SFH,589100
Capitol Hill,53,2000-08,2000,8,SFH,591400
Capitol Hill,54,2000-09,2000,9,SFH,592900
Capitol Hill,55,2000-10,2000,10,SFH,592100
Capitol Hill,56,2000-11,2000,11,SFH,592100
Capitol Hill,57,2000-12,2000,12,SFH,594200
Capitol Hill,58,2001-01,2001,1,SFH,599400
Capitol Hill,59,2001-02,2001,2,SFH,607700
Capitol Hill,60,2001-03,2001,3,SFH,614900
Capitol Hill,61,2001-04,2001,4,SFH,613100
Capitol Hill,62,2001-05,2001,5,SFH,605500
Capitol Hill,63,2001-06,2001,6,SFH,600200
Capitol Hill,64,2001-07,2001,7,SFH,599800
Capitol Hill,65,2001-08,2001,8,SFH,601200
Capitol Hill,66,2001-09,2001,9,SFH,604000
Capitol Hill,67,2001-10,2001,10,SFH,610600
Capitol Hill,68,2001-11,2001,11,SFH,616800
Capitol Hill,69,2001-12,2001,12,SFH,616800
Capitol Hill,70,2002-01,2002,1,SFH,615600
Capitol Hill,71,2002-02,2002,2,SFH,614000
Capitol Hill,72,2002-03,2002,3,SFH,612300
Capitol Hill,73,2002-04,2002,4,SFH,616400
Capitol Hill,74,2002-05,2002,5,SFH,628500
Capitol Hill,75,2002-06,2002,6,SFH,639200
Capitol Hill,76,2002-07,2002,7,SFH,643800
Capitol Hill,77,2002-08,2002,8,SFH,645600
Capitol Hill,78,2002-09,2002,9,SFH,647400
Capitol Hill,79,2002-10,2002,10,SFH,646000
Capitol Hill,80,2002-11,2002,11,SFH,642700
Capitol Hill,81,2002-12,2002,12,SFH,638800
Capitol Hill,82,2003-01,2003,1,SFH,638400
Capitol Hill,83,2003-02,2003,2,SFH,642800
Capitol Hill,84,2003-03,2003,3,SFH,649900
Capitol Hill,85,2003-04,2003,4,SFH,654400
Capitol Hill,86,2003-05,2003,5,SFH,658300
Capitol Hill,87,2003-06,2003,6,SFH,660200
Capitol Hill,88,2003-07,2003,7,SFH,662000
Capitol Hill,89,2003-08,2003,8,SFH,664400
Capitol Hill,90,2003-09,2003,9,SFH,666500
Capitol Hill,91,2003-10,2003,10,SFH,666000
Capitol Hill,92,2003-11,2003,11,SFH,667600
Capitol Hill,93,2003-12,2003,12,SFH,673700
Capitol Hill,94,2004-01,2004,1,SFH,679700
Capitol Hill,95,2004-02,2004,2,SFH,682100
Capitol Hill,96,2004-03,2004,3,SFH,684200
Capitol Hill,97,2004-04,2004,4,SFH,689000
Capitol Hill,98,2004-05,2004,5,SFH,693600
Capitol Hill,99,2004-06,2004,6,SFH,698100
Capitol Hill,100,2004-07,2004,7,SFH,702300
Capitol Hill,101,2004-08,2004,8,SFH,706600
Capitol Hill,102,2004-09,2004,9,SFH,709900
Capitol Hill,103,2004-10,2004,10,SFH,715600
Capitol Hill,104,2004-11,2004,11,SFH,724700
Capitol Hill,105,2004-12,2004,12,SFH,734900
Capitol Hill,106,2005-01,2005,1,SFH,740400
Capitol Hill,107,2005-02,2005,2,SFH,742300
Capitol Hill,108,2005-03,2005,3,SFH,746200
Capitol Hill,109,2005-04,2005,4,SFH,755400
Capitol Hill,110,2005-05,2005,5,SFH,768400
Capitol Hill,111,2005-06,2005,6,SFH,786900
Capitol Hill,112,2005-07,2005,7,SFH,807000
Capitol Hill,113,2005-08,2005,8,SFH,820100
Capitol Hill,114,2005-09,2005,9,SFH,826700
Capitol Hill,115,2005-10,2005,10,SFH,833200
Capitol Hill,116,2005-11,2005,11,SFH,839600
Capitol Hill,117,2005-12,2005,12,SFH,848400
Capitol Hill,118,2006-01,2006,1,SFH,860700
Capitol Hill,119,2006-02,2006,2,SFH,871900
Capitol Hill,120,2006-03,2006,3,SFH,882500
Capitol Hill,121,2006-04,2006,4,SFH,891400
Capitol Hill,122,2006-05,2006,5,SFH,892000
Capitol Hill,123,2006-06,2006,6,SFH,889600
Capitol Hill,124,2006-07,2006,7,SFH,895100
Capitol Hill,125,2006-08,2006,8,SFH,908800
Capitol Hill,126,2006-09,2006,9,SFH,923800
Capitol Hill,127,2006-10,2006,10,SFH,936300
Capitol Hill,128,2006-11,2006,11,SFH,945200
Capitol Hill,129,2006-12,2006,12,SFH,952300
Capitol Hill,130,2007-01,2007,1,SFH,958700
Capitol Hill,131,2007-02,2007,2,SFH,967900
Capitol Hill,132,2007-03,2007,3,SFH,975700
Capitol Hill,133,2007-04,2007,4,SFH,975900
Capitol Hill,134,2007-05,2007,5,SFH,974300
Capitol Hill,135,2007-06,2007,6,SFH,977000
Capitol Hill,136,2007-07,2007,7,SFH,979600
Capitol Hill,137,2007-08,2007,8,SFH,980100
Capitol Hill,138,2007-09,2007,9,SFH,976700
Capitol Hill,139,2007-10,2007,10,SFH,974300
Capitol Hill,140,2007-11,2007,11,SFH,974700
Capitol Hill,141,2007-12,2007,12,SFH,975500
Capitol Hill,142,2008-01,2008,1,SFH,975100
Capitol Hill,143,2008-02,2008,2,SFH,973800
Capitol Hill,144,2008-03,2008,3,SFH,967500
Capitol Hill,145,2008-04,2008,4,SFH,965300
Capitol Hill,146,2008-05,2008,5,SFH,967100
Capitol Hill,147,2008-06,2008,6,SFH,960300
Capitol Hill,148,2008-07,2008,7,SFH,945300
